City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Russell,US,32.3502,-85.1999,73.0,40,1,4.61,Clear
230,Quesnel,CA,52.9999,-122.5029,51.8,46,1,17.27,Clear
231,Meadow Lake,US,34.8014,-106.5436,48.99,46,90,12.66,Clouds
232,Puerto Colombia,CO,10.9878,-74.9547,86.0,74,75,12.66,Clouds
233,Mackay,AU,-21.15,149.2,71.01,94,40,8.05,Clouds
234,Ndende,GA,-2.4008,11.3581,77.02,87,98,2.89,Clouds
235,Atambua,ID,-9.1061,124.8925,71.1,84,74,4.81,Clouds
236,Portobelo,PA,9.55,-79.65,86.0,81,86,37.0,Clouds
237,Olafsvik,IS,64.8945,-23.7142,36.86,79,68,34.72,Clouds
238,Geraldton,AU,-28.7667,114.6,64.4,59,75,10.36,Clouds
239,Robe,AU,-37.1833,139.75,61.0,75,61,13.15,Clouds
240,Pauini,BR,-7.7136,-66.9764,80.24,91,87,3.62,Clouds
241,Acarau,BR,-2.8856,-40.12,82.94,71,99,12.19,Clouds
242,Wahpeton,US,46.2652,-96.6059,57.2,44,1,23.02,Clear
243,Merauke,ID,-8.4667,140.3333,76.3,92,97,7.52,Rain
244,Obidos,BR,-1.9175,-55.5181,73.38,98,100,0.36,Rain
245,Avarua,CK,-21.2078,-159.775,77.0,88,40,5.75,Rain
246,Bethel,US,41.3712,-73.414,60.8,39,20,6.91,Clouds
247,Trojes,AL,41.756,19.962,55.4,67,0,5.75,Clear
248,Santa Rosa,PH,14.3122,121.1114,84.2,65,75,6.91,Clouds
249,Stokmarknes,NO,68.5646,14.9108,48.2,53,0,4.61,Clear
250,Kardymovo,RU,54.8902,32.4311,44.83,83,98,5.95,Clouds
251,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,80.62,81,100,2.26,Clouds
252,Pangai,TO,-19.8,-174.35,77.0,73,20,4.61,Clouds
253,Yeniseysk,RU,58.4497,92.1703,32.47,93,100,7.74,Snow
254,Bathsheba,BB,13.2167,-59.5167,86.0,54,40,23.02,Clouds
255,Inta,RU,66.0317,60.1659,7.21,93,58,2.08,Clouds
256,Tweed,CA,44.4751,-77.3162,55.4,67,40,12.66,Clouds
257,Kutum,SD,14.2,24.6667,80.8,6,3,7.87,Clear
258,Salinopolis,BR,-0.6136,-47.3561,77.99,88,100,5.1,Rain
259,Cascais,PT,38.6979,-9.4215,69.8,48,0,8.05,Clear
260,Totness,SR,5.8833,-56.3167,83.32,63,93,13.13,Clouds
261,Praia Da Vitoria,PT,38.7333,-27.0667,69.8,60,40,9.26,Clouds
