City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
498,Port Hardy,CA,50.0,Clear,50.6996,-127.4199,Airport Inn
501,Byron Bay,AU,59.0,Clouds,-28.65,153.6167,Backpackers Inn on the Beach
502,Sfantu Gheorghe,RO,43.0,Clouds,45.8667,25.7833,Hotel Park Sfantu Gheorghe
503,Perth,AU,62.01,Clear,-31.9333,115.8333,Beatty Lodge
507,Villazon,BO,59.76,Clear,-22.0866,-65.5942,La Candelaria
509,Scarborough,GB,50.0,Clouds,54.2797,-0.4044,Ambassador
510,San Jeronimo,PE,64.27,Clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
511,Jiamusi,CN,45.63,Clear,46.8333,130.35,Riversky Hotel
512,Mpika,ZM,57.34,Clouds,-11.8343,31.4529,Melodies Lodge
513,Nara,JP,46.0,Clear,34.6851,135.8049,Guesthouse Nara Komachi
517,Fallon,US,62.01,Clear,39.4735,-118.7774,Best Western Fallon Inn & Suites
518,Vicksburg,US,68.0,Clouds,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
521,Demba,CD,73.78,Clouds,-5.51,22.2667,
522,Sayyan,YE,63.45,Clouds,15.1718,44.3244,متنزه و بحيرة سيان
523,Makakilo City,US,72.0,Clear,21.3469,-158.0858,Marriott's Ko Olina Beach Club
525,Thunder Bay,CA,51.8,Clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
526,Skjervoy,NO,44.6,Clear,70.0311,20.9714,Skjervøy Byggeservice AS
527,Bismarck,US,42.8,Clouds,46.8083,-100.7837,Ramkota Hotel & Conference Center
530,Muros,ES,64.99,Rain,42.7762,-9.0603,Apartment Av. Castelao
532,Alofi,NU,68.0,Clouds,-19.0595,-169.9187,Taloa Heights
533,Zhezkazgan,KZ,55.42,Clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
536,Huilong,CN,57.0,Clouds,31.8111,121.655,Hilton Garden Inn Qidong
538,Hella,NO,51.8,Clear,67.2,14.4333,Kobbosen
540,Yzeure,FR,53.6,Clear,46.5644,3.355,Mercure Moulins Centre - Hôtel de Paris
542,Marawi,PH,73.99,Clouds,7.9986,124.2928,Derogongan Residence
544,Suluq,LY,72.41,Clouds,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
545,Juruti,BR,74.59,Clouds,-2.1522,-56.0922,Hotel Acauã - ORLA
546,Tuscaloosa,US,68.0,Clouds,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
548,Angoram,PG,71.91,Clouds,-4.0625,144.0661,
551,Gotsu,JP,46.71,Clear,35.0,132.2167,Yurusato
553,Cedar City,US,53.01,Clear,37.6775,-113.0619,Hampton Inn Cedar City
554,Burnie,AU,52.0,Clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
557,Lufilufi,WS,71.6,Rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
561,Hillsborough,US,69.01,Clear,37.5741,-122.3794,Hyatt Regency San Francisco Airport
563,Angoche,MZ,74.37,Clouds,-16.2325,39.9086,Guest House HESADA
566,Jvari,GE,66.2,Rain,42.7169,42.052,Savanna House
567,Mwense,ZM,68.22,Clouds,-10.3845,28.698,Mwense Council Guest House
568,Andenes,NO,42.8,Clouds,69.3143,16.1194,Hotell Marena
